原料类型,霉变情况,来源情况,预估等级,茶渣_储存时间,果渣_褐变情况,原料是否匹配,等级是否匹配,路线_推荐强度,路线_风险等级,路线_首选目标,路线_适用原料类,路线_适用等级,匹配得分
豆制品/粮食发酵副产物,轻度,明确可追溯,良,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,6.365134383703149
豆制品/粮食发酵副产物,轻度,基本可追溯,优,,,0,0,中,低,无害化兜底,茶渣,差,2.427382361008191
豆制品/粮食发酵副产物,严重,来源不明,优,,,1,1,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,0.0
茶渣,轻度,基本可追溯,良,否,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,5.314646768709706
中药残余废弃物,严重,来源不明,良,,,0,1,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,0.3192211808356965
豆制品/粮食发酵副产物,严重,来源不明,良,,,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,6.995763951969422
茶渣,无,基本可追溯,优,否,,1,1,中,高,食品支线,茶渣,优,6.630955399873644
豆制品/粮食发酵副产物,轻度,明确可追溯,优,,,0,1,中,高,食品支线,茶渣,优,2.803564509660066
茶渣,轻度,明确可追溯,优,是,,0,1,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,4.455258792001699
花生壳/板栗壳,轻度,来源不明,优,,,0,1,高,中,材料主线,茶渣,优/良,6.010592143110639
豆制品/粮食发酵副产物,轻度,明确可追溯,良,,,1,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,10.537654787886256
中药残余废弃物,无,来源不明,优,,,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,6.6031339328420575
果渣（柑橘/葡萄/猕猴桃等）,严重,基本可追溯,优,,否,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,6.868331217081705
花生壳/板栗壳,无,来源不明,差,,,0,1,中,低,无害化兜底,茶渣,差,5.077577944631175
花生壳/板栗壳,轻度,基本可追溯,差,,,1,0,高,中,材料主线,花生壳/板栗壳,优/良,6.9665471847899205
中药残余废弃物,无,基本可追溯,优,,,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,7.379906465781835
花生壳/板栗壳,无,明确可追溯,良,,,0,1,高,中高,食品支线,葡萄籽,优/良,5.254588214621329
果渣（柑橘/葡萄/猕猴桃等）,轻度,基本可追溯,差,,否,0,0,高,中高,食品支线,葡萄籽,优/良,2.242353939019379
果渣（柑橘/葡萄/猕猴桃等）,轻度,来源不明,良,,否,0,0,中,高,食品支线,茶渣,优,0.0
花生壳/板栗壳,无,来源不明,优,,,0,1,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,5.007953729567151
中药残余废弃物,轻度,来源不明,差,,,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,7.1020252409038305
花生壳/板栗壳,严重,来源不明,差,,,1,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,8.613936264024098
果渣（柑橘/葡萄/猕猴桃等）,无,来源不明,优,,是,0,1,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,4.366063511180601
花生壳/板栗壳,轻度,基本可追溯,良,,,0,1,高,中,材料主线,茶渣,优/良,5.7789696096116625
花生壳/板栗壳,轻度,基本可追溯,优,,,0,1,高,低,材料主线,茶渣,优/良/差,7.479308961796032
花生壳/板栗壳,无,来源不明,良,,,0,0,中,低,无害化兜底,茶渣,差,1.9132943793262078
茶渣,轻度,来源不明,良,否,,0,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,6.423690993865658
中药残余废弃物,无,明确可追溯,差,,,0,1,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,4.9499889204749685
果渣（柑橘/葡萄/猕猴桃等）,轻度,明确可追溯,差,,否,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,6.925210428919697
豆制品/粮食发酵副产物,严重,基本可追溯,良,,,0,1,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,0.0
花生壳/板栗壳,无,明确可追溯,优,,,1,1,高,中,材料主线,花生壳/板栗壳,优/良,9.536404762918504
茶渣,轻度,明确可追溯,优,是,,0,1,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,3.275345386194612
豆制品/粮食发酵副产物,轻度,来源不明,良,,,1,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,9.975490345965705
茶渣,严重,基本可追溯,良,是,,1,0,中,高,食品支线,茶渣,优,0.249292958797397
果渣（柑橘/葡萄/猕猴桃等）,严重,基本可追溯,优,,否,0,1,高,低,材料主线,茶渣,优/良/差,7.186134335497232
果渣（柑橘/葡萄/猕猴桃等）,无,明确可追溯,优,,否,1,1,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,9.41654731461591
花生壳/板栗壳,严重,基本可追溯,良,,,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,5.2774146720973105
豆制品/粮食发酵副产物,无,基本可追溯,优,,,0,1,高,低,材料主线,茶渣,优/良/差,6.530385482658215
果渣（柑橘/葡萄/猕猴桃等）,无,来源不明,优,,否,1,1,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,9.836595517306977
花生壳/板栗壳,无,来源不明,差,,,1,1,高,低,材料主线,花生壳/板栗壳,优/良/差,11.051074152357092
茶渣,严重,明确可追溯,良,否,,0,1,高,中高,食品支线,葡萄籽,优/良,0.0
中药残余废弃物,轻度,基本可追溯,良,,,0,1,高,中,材料主线,花生壳/板栗壳,优/良,6.488892799632754
茶渣,轻度,基本可追溯,差,是,,0,0,高,中,材料主线,花生壳/板栗壳,优/良,3.1877082912812007
豆制品/粮食发酵副产物,无,基本可追溯,良,,,1,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,9.61334267091251
中药残余废弃物,无,来源不明,良,,,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,5.819016947761109
豆制品/粮食发酵副产物,轻度,基本可追溯,差,,,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,5.951939944828405
茶渣,轻度,明确可追溯,差,否,,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,5.774371596793169
花生壳/板栗壳,轻度,明确可追溯,良,,,0,1,高,中高,食品支线,葡萄籽,优/良,5.437523997102861
果渣（柑橘/葡萄/猕猴桃等）,轻度,基本可追溯,良,,是,0,1,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,3.487109315029662
果渣（柑橘/葡萄/猕猴桃等）,无,基本可追溯,良,,否,0,1,高,低,材料主线,茶渣,优/良/差,6.694972860550657
茶渣,无,明确可追溯,良,否,,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,6.881605887395098
果渣（柑橘/葡萄/猕猴桃等）,无,基本可追溯,优,,否,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,7.066310634012935
豆制品/粮食发酵副产物,轻度,基本可追溯,良,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,5.5868754539750745
果渣（柑橘/葡萄/猕猴桃等）,无,基本可追溯,差,,是,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,6.996049460211476
茶渣,轻度,来源不明,优,否,,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,6.321081712329843
花生壳/板栗壳,无,明确可追溯,差,,,1,1,高,低,材料主线,花生壳/板栗壳,优/良/差,11.325979648653853
花生壳/板栗壳,轻度,来源不明,差,,,0,0,高,中,材料主线,茶渣,优/良,2.584865639961158
中药残余废弃物,轻度,来源不明,差,,,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,5.978220544466516
茶渣,严重,来源不明,良,否,,0,1,高,中高,食品支线,葡萄籽,优/良,0.0
中药残余废弃物,无,来源不明,优,,,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,6.732272281671476
豆制品/粮食发酵副产物,轻度,基本可追溯,差,,,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,4.939019061082564
中药残余废弃物,严重,来源不明,优,,,0,1,高,中高,食品支线,葡萄籽,优/良,0.0
果渣（柑橘/葡萄/猕猴桃等）,严重,来源不明,优,,是,0,1,高,中,材料主线,花生壳/板栗壳,优/良,6.3223789624331745
花生壳/板栗壳,无,来源不明,差,,,0,0,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,0.0
花生壳/板栗壳,无,来源不明,优,,,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,6.226893747543222
豆制品/粮食发酵副产物,严重,基本可追溯,差,,,0,0,高,中,材料主线,花生壳/板栗壳,优/良,2.994864322269674
果渣（柑橘/葡萄/猕猴桃等）,轻度,来源不明,差,,否,0,0,高,中,材料主线,茶渣,优/良,2.666678792458657
茶渣,严重,明确可追溯,优,是,,0,1,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,0.17413273235946458
茶渣,无,来源不明,差,否,,0,0,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,1.505934904019156
花生壳/板栗壳,轻度,基本可追溯,优,,,0,1,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,5.193458754754851
茶渣,无,明确可追溯,优,否,,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,7.132852600470612
茶渣,轻度,来源不明,良,否,,0,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,5.8019571780736685
中药残余废弃物,无,明确可追溯,差,,,0,0,高,中高,食品支线,葡萄籽,优/良,1.8689870874341796
豆制品/粮食发酵副产物,轻度,来源不明,良,,,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,6.891763117809003
豆制品/粮食发酵副产物,无,基本可追溯,优,,,0,0,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,2.371416382436637
花生壳/板栗壳,轻度,明确可追溯,差,,,0,0,高,中,材料主线,茶渣,优/良,2.7338423072733384
果渣（柑橘/葡萄/猕猴桃等）,无,明确可追溯,差,,是,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,6.670877818726075
花生壳/板栗壳,轻度,来源不明,差,,,0,1,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,5.4779054732817976
豆制品/粮食发酵副产物,严重,基本可追溯,良,,,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,6.9279297087442036
茶渣,轻度,来源不明,良,否,,0,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,5.95019625180108
中药残余废弃物,严重,来源不明,优,,,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,6.761112842729693
花生壳/板栗壳,严重,明确可追溯,良,,,1,1,高,低,材料主线,花生壳/板栗壳,优/良/差,11.14622329289436
花生壳/板栗壳,无,基本可追溯,优,,,1,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,8.958511939531698
豆制品/粮食发酵副产物,轻度,明确可追溯,差,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,5.902582479328101
果渣（柑橘/葡萄/猕猴桃等）,轻度,基本可追溯,差,,是,0,0,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,0.974714315754177
花生壳/板栗壳,轻度,基本可追溯,良,,,0,1,高,低,材料主线,茶渣,优/良/差,7.408601282032448
中药残余废弃物,严重,明确可追溯,差,,,0,0,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,0.0
花生壳/板栗壳,严重,来源不明,优,,,0,1,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,3.0868425318689434
豆制品/粮食发酵副产物,严重,来源不明,良,,,0,0,中,高,食品支线,茶渣,优,0.04103838681126837
豆制品/粮食发酵副产物,无,明确可追溯,良,,,0,1,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,5.235590018394745
豆制品/粮食发酵副产物,无,来源不明,良,,,0,1,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,2.6974213931512345
茶渣,严重,基本可追溯,优,是,,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,6.391244843302156
果渣（柑橘/葡萄/猕猴桃等）,严重,基本可追溯,差,,是,1,1,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,8.912897259819077
茶渣,严重,明确可追溯,良,否,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,5.121477579909398
茶渣,无,来源不明,优,否,,0,1,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,2.8369140839334914
花生壳/板栗壳,严重,明确可追溯,优,,,0,1,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,0.17982623532859143
花生壳/板栗壳,轻度,明确可追溯,优,,,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,5.551772506949341
花生壳/板栗壳,轻度,明确可追溯,优,,,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,5.300255974783417
花生壳/板栗壳,轻度,明确可追溯,差,,,0,1,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,5.073121979511489
花生壳/板栗壳,轻度,基本可追溯,差,,,1,0,高,中,材料主线,花生壳/板栗壳,优/良,6.732190923870708
中药残余废弃物,轻度,明确可追溯,良,,,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,6.96820293983106
茶渣,无,来源不明,差,是,,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,5.094796406085045
果渣（柑橘/葡萄/猕猴桃等）,轻度,来源不明,优,,是,0,1,高,低,材料主线,茶渣,优/良/差,6.585215731237792
果渣（柑橘/葡萄/猕猴桃等）,轻度,明确可追溯,优,,是,0,1,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,3.4010077380993113
茶渣,轻度,来源不明,良,否,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,5.466822706912638
中药残余废弃物,轻度,明确可追溯,优,,,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,7.455101449447281
中药残余废弃物,轻度,来源不明,优,,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,5.018152850741809
果渣（柑橘/葡萄/猕猴桃等）,严重,基本可追溯,良,,是,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,5.2775031670040695
豆制品/粮食发酵副产物,无,基本可追溯,差,,,0,0,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,2.7482824854631245
豆制品/粮食发酵副产物,轻度,明确可追溯,良,,,0,1,高,中,材料主线,花生壳/板栗壳,优/良,6.0381968936737085
中药残余废弃物,严重,明确可追溯,良,,,0,1,高,中,材料主线,花生壳/板栗壳,优/良,6.009849604657594
花生壳/板栗壳,无,明确可追溯,优,,,0,1,中,高,食品支线,茶渣,优,3.2145972756409753
茶渣,无,来源不明,良,否,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,6.081270967326195
花生壳/板栗壳,无,基本可追溯,差,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,5.610964358187609
果渣（柑橘/葡萄/猕猴桃等）,轻度,来源不明,良,,是,0,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,5.794174113209615
花生壳/板栗壳,轻度,明确可追溯,差,,,0,0,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,0.9820085434551106
花生壳/板栗壳,无,来源不明,良,,,1,1,高,低,材料主线,花生壳/板栗壳,优/良/差,11.447963504042685
豆制品/粮食发酵副产物,轻度,明确可追溯,良,,,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,5.019406734686491
